page-title,audio_file_name,source,genera,sub-genera,diezeugmenon_synemmenon,duration,note_number,note_frequency,mese_frequency
b_d_scale_full_d,b_d_scale_full_d.mp3,Boethius,diatonic,n/a,diezeugmenon,0:10,15,"216.0, 243.0. 256.0, 288.0, 324.0, 341.3, 384.0, 432.0, 486.0, 512.0, 576.0, 648.0, 682.7, 768.0, 864.0",432.0
b_c_scale_full_d,b_c_scale_full_d.mp3,Boethius,chromatic,n/a,diezeugmenon,0:10,15,"216.0, 243.0, 256.0, 272.8, 324.0, 341.3, 363.8, 432.0, 486.0, 512.0, 545.7, 648.0, 682.7, 727.6, 864.0",432.0
b_e_scale_full_d,b_e_scale_full_d.mp3,Boethius,enharmonic,n/a,diezeugmenon,0:10,15,"216.0, 243.0, 249.3, 256.0, 324.0, 332.4, 341.3, 432.0, 486.9, 498.7, 512.0, 648.0, 664.9, 682.7, 864.0",432.0
b_d_scale_full_s,b_d_scale_full_s.mp3,Boethius,diatonic,n/a,synemmenon,0:10,15,"216.0, 243.0. 256.0, 288.0, 324.0, 341.3, 384.0, 432.0, 455.1, 512.0, 576.0, 648.0, 682.7, 768.0, 864.0",432.0
b_c_scale_full_s,b_c_scale_full_s.mp3,Boethius,chromatic,n/a,synemmenon,0:10,15,"216.0, 243.0, 256.0, 272.8, 324.0, 341.3, 363.8, 432.0, 455.1, 485.1, 576.0, 648.0, 682.7, 727.6, 864.0",432.0
b_e_scale_full_s,b_e_scale_full_s.mp3,Boethius,enharmonic,n/a,synemmenon,0:10,15,"216.0, 243.0, 249.3, 256.0, 324.0, 332.4, 341.3, 432.0, 443.3, 455.1, 576.0, 648.0, 664.9, 682.7, 864.0",432.0
x_shd_scale_full_d,x_shd_scale_full_d.mp3,Aristoxenus,diatonic,sharp diatonic,diezeugmenon,0:10,15,"216.0, 243.0, 257.4, 288.8, 324.0, 343.2, 385.0, 432.0, 486.0, 514.8, 577.6, 648.0, 686.4, 770.1, 864.0",432.0
x_sod_scale_full_d,x_sod_scale_full_d.mp3,Aristoxenus,diatonic,soft diatonic,diezeugmenon,0:10,15,"216.0, 243.0, 257.4, 280.6, 324.0, 343.2, 374.1, 432.0, 486.0, 514.8, 561.2, 648.0, 686.4, 748.2, 864.0",432.0
x_tc_scale_full_d,x_tc_scale_full_d.mp3,Aristoxenus,chromatic,tonic chromatic,diezeugmenon,0:10,15,"216.0, 243.0, 257.4, 272.6, 324.0, 343.2, 363.5, 432.0, 486.0, 514.8, 545.3, 648.0, 686.4, 727.0, 864.0",432.0
x_hc_scale_full_d,x_hc_scale_full_d.mp3,Aristoxenus,chromatic,hemiolic chromatic,diezeugmenon,0:10,15,"216.0, 243.0, 253.7, 264.9, 324.0, 338.3, 353.2, 432.0, 486.0, 507.4, 529.8, 648.0, 676.6, 706.4, 864.0",432.0
x_sc_scale_full_d,x_sc_scale_full_d.mp3,Aristoxenus,chromatic,soft chromatic,diezeugmenon,0:10,15,"216.0, 243.0, 252.5, 262.4, 324.0, 336.7, 349.8, 432.0, 486.0, 505.0, 524.8, 648.0, 673.3, 699.7, 864.0",432.0
x_e_scale_full_d,x_e_scale_full_d.mp3,Aristoxenus,enharmonic,n/a,diezeugmenon,0:10,15,"216.0, 243.0, 250.1, 257.4, 324.0. 333.5. 343.2, 432.0, 486.0, 500.2, 514.8, 648.0, 666.9, 686.4, 864.0",432.0
x_shd_scale_full_s,x_shd_scale_full_s.mp3,Aristoxenus,diatonic,sharp diatonic,synemmenon,0:10,15,"216.0, 243.0, 257.4, 288.8, 324.0, 343.2, 385.0, 432.0, 457.6, 513.4, 576.0, 648.0, 686.4, 770.1, 864.0",432.0
x_sod_scale_full_s,x_sod_scale_full_s.mp3,Aristoxenus,diatonic,soft diatonic,synemmenon,0:10,15,"216.0, 243.0, 257.4, 280.6, 324.0, 343.2, 374.1, 432.0, 457.6, 498.8, 576.0, 648.0, 686.4, 748.2, 864.0",432.0
x_tc_scale_full_s,x_tc_scale_full_s.mp3,Aristoxenus,chromatic,tonic chromatic,synemmenon,0:10,15,"216.0, 243.0, 257.4, 272.6, 324.0, 343.2, 363.5, 432.0, 457.6, 484.7, 576.0, 648.0, 686.4, 727.0, 864.0",432.0
x_hc_scale_full_s,x_hc_scale_full_s.mp3,Aristoxenus,chromatic,hemiolic chromatic,synemmenon,0:10,15,"216.0, 243.0, 253.7, 264.9, 324.0, 338.3, 353.2, 432.0, 451.0, 470.9, 576.0, 648.0, 676.6, 706.4, 864.0",432.0
